TER_CODE;LOCALITY_LATIN;GMI_ADMIN
1967_1_1_48;?e?eno-Ingušskaja ASSR;RUS-CHG
1967_1_1_53;?eljabinskaja  oblast?;RUS-CHL
1967_1_1_63;?itinskaja oblast?;RUS-CHI
1967_1_1_27;?uvaškaja ASSR;RUS-CHV
1967_1_15_0;Èstonskaja SSR;CNTRY_Estonia
1967_1_1_55;Altajskij kraj;RUS-ALT
1967_1_1_68;Amurskaja oblast?;RUS-AMU
1967_1_1_1;Arhangel?skaja oblast?;RUS-ARK
1967_1_13_0;Armjanskaja SSR;CNTRY_Armenia
1967_1_1_33;Astrahanskaja  oblast?;RUS-AST
1967_1_7_0;Azerbajdžanskaja SSR;CNTRY_Azerbaijan
1967_1_1_39;Baškirskaja  ASSR;RUS-BSK
1967_1_1_28;Belgorodskaja oblast?;RUS-BLG
1967_1_3_0;Belorusskaja SSR;CNTRY_Byelarus
1967_1_1_10;Brjanskaja oblast?;RUS-BRY
1967_1_1_64;Burjatskaja ASSR;RUS-BUR
1967_1_1_45;Dagestanskaja ASSR;RUS-DGS
1967_1_1_3;G. Leningrad;RUS-SPT
1967_1_1_16;G.Moskva;RUS-MSC
1967_1_1_23;Gor?kovskaja oblast?;RUS-NZN
1967_1_6_0;Gruzinskaja SSR;CNTRY_Georgia
1967_1_1_67;Habarovskij kraj;RUS-KHA
1967_1_1_62;Irkutskaja oblast?;RUS-IRK
1967_1_1_12;Ivanovskaja oblast?;RUS-IVN
1967_1_1_72;Jakutskaja ASSR;RUS-YAK
1967_1_1_22;Jaroslavslaja oblast?;RUS-YRS
1967_1_1_46;Kabardino-Balkarskaja ASSR;RUS-KBK
1967_1_1_13;Kaliniskaja oblast?;RUS-TVR
1967_1_1_73;Kaliningradskaja oblast?;RUS-KNG
1967_1_1_40;Kalmyckaja ASSR;RUS-KLM
1967_1_1_14;Kalužskaja oblast?;RUS-KLG
1967_1_1_69;Kam?atskaja oblast?;RUS-KAM
1967_1_1_8;Karel?saja oblast?;RUS-KRL
1967_1_5_0;Kazahskaja SSR;CNTRY_Kazakhstan
1967_1_1_56;Kemerovskaja oblast?;RUS-KEM
1967_1_11_0;Kirgizskaja SSR;CNTRY_Kyrgyzstan
1967_1_1_24;Kirovskaja oblast?;RUS-KRV
1967_1_1_9;Komi ASSR;RUS-KOM
1967_1_1_15;Kostromskaja oblast?;RUS-KST
1967_1_1_42;Krasnodarskij kraj;RUS-KSN
1967_1_1_61;Krasnojarskij kraj;RUS-KRA
1967_1_1_35;Kubyševskaja oblast?;RUS-SAM
1967_1_1_49;Kurganskaja  oblast?;RUS-KUR
1967_1_1_30;Kurskaja oblast?;RUS-KRS
1967_1_10_0;Latvijskaja SSR;CNTRY_Latvia
1967_1_1_4;Leningradskaja oblast?;RUS-SPT
1967_1_1_31;Lipeckaja oblast?;RUS-LPT
1967_1_8_0;Litovskaja SSR;CNTRY_Lithuania
1967_1_1_70;Magadanskaja oblast?;RUS-MAG
1967_1_1_25;Marijskaja ASSR;RUS-MRL
1967_1_9_0;Moldavskaja SSR;CNTRY_Moldova
1967_1_1_26;Mordovskaja ASSR;RUS-MRD
1967_1_1_17;Moskovskaja oblast?;RUS-MSC
1967_1_1_5;Murmanskaja oblast?;RUS-MRM
1967_1_1_6;Novgorodskaja oblast?;RUS-NVG
1967_1_1_57;Novosibirskaja  oblast?;RUS-NOV
1967_1_1_58;Omskaja  oblast?;RUS-OMS
1967_1_1_50;Orenburgskaja oblast?;RUS-ORB
1967_1_1_18;Orlovskaja oblast?;RUS-ORL
1967_1_1_36;Penzenskaja oblast?;RUS-PNZ
1967_1_1_51;Permskaja oblast?;RUS-PER
1967_1_1_66;Primorskij kraj;RUS-PRM
1967_1_1_7;Pskovskaja oblast?;RUS-PSK
1967_1_1_19;Rjazanskaja oblast?;RUS-RYZ
1967_1_1_44;Rostovskaja  oblast?;RUS-RSV
1967_1_1_71;Sahalinskaja oblast?;RUS-SAK
1967_1_1_37;Saratovskaja oblast?;RUS-SRT
1967_1_1_47;Severo-Osetiiskaja ASSR;RUS-NOS
1967_1_1_20;Smolenskaja oblast?;RUS-SML
1967_1_1_43;Stavropol?skij kraj;RUS-STV
1967_1_1_52;Sverdlovskaja  oblast?;RUS-SVD
1967_1_12_0;Tadžikskaja SSR;CNTRY_Tajikistan
1967_1_1_32;Tambovskaja oblast?;RUS-TMB
1967_1_1_41;Tatarskaja ASSR;RUS-TRT
1967_1_1_60;Tjumenskaja  oblast?;RUS-TYU
1967_1_1_59;Tomskaja  oblast?;RUS-TOM
1967_1_1_21;Tul?skaja oblast?;RUS-TUL
1967_1_14_0;Turkmenskaja SSR;CNTRY_Turkmenistan
1967_1_1_65;Tuvinskaja ASSR;RUS-TUV
1967_1_1_54;Udmurtskaja ASSR;RUS-UDM
1967_1_2_0;Ukrainskaja SSR;CNTRY_Ukraine
1967_1_1_38;Ul?janovskaja oblast?;RUS-ULY
1967_1_4_0;Uzbekskaja SSR;CNTRY_Uzbekistan
1967_1_1_11;Vladimirskaja oblast?;RUS-VLD
1967_1_1_2;Volgodskaja oblast?;RUS-VLG
1967_1_1_34;Volgogradskaja oblast?;RUS-VGG
1967_1_1_29;Voronežskaja oblast?;RUS-VRN
